name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,user_score,rating,na_population,eu_population,jp_population,other_population,critic_count,user_count,developer,popularity_score
Grand Steal Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1579000,1419000,70000,504000,3572000,7.7,7.9,M,441042795.0,766795552.0,127854000.0,67886698528.0,49,112,Rockstar Leeds,7.839130435
Clubhouse Games,DS,2006,Misc,Ninti,594000,1817000,719000,335000,3465000,8.4,8.3,E,441042795.0,766795552.0,127854000.0,67886698528.0,30,28,Agenda,8.351724138
Personal Trainer: Cooking,DS,2006,Misc,Ninti,902000,996000,1027000,171000,3096000,8.2,7.9,E,441042795.0,766795552.0,127854000.0,67886698528.0,12,10,Indies Zero,8.063636364
WarioWare: Smooth Moves,Weii,2006,Puzzle,Ninti,874000,1052000,731000,261000,2918000,8.3,7.5,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,61,179,Intelligent Systems,7.703333333
Yoshi's Island DS,DS,2006,Platform,Ninti,1467000,70000,1104000,151000,2792000,8.2,7.4,E,441042795.0,766795552.0,127854000.0,67886698528.0,42,67,Artoon,7.708256881
Call of War 3,X360,2006,Shooter,Activision,1493000,922000,20000,268000,2703000,8.3,6.6,T,441042795.0,766795552.0,127854000.0,67886698528.0,71,233,Treyarch,6.997039474
LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,LucasArts,1882000,648000,10000,194000,2734000,8.4,9.1,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,32,41,Traveller's Tales,8.793150685
Medal of Honor Heroes,PSP,2006,Shooter,Electronic Arts,848000,1094000,10000,661000,2613000,7.0,7.9,T,441042795.0,766795552.0,127854000.0,67886698528.0,24,47,Team Fusion,7.595774648
WWE SmackDown vs. RAW 2007,PS2,2006,Fighting,THQ,1408000,876000,30000,256000,2570000,8.0,8.8,T,441042795.0,766795552.0,127854000.0,67886698528.0,27,57,Yuke's,8.542857143
Marvel: Ultimate Alliance,X360,2006,Role-Playing,Activision,2334000,20000,0,188000,2542000,8.2,7.6,T,441042795.0,766795552.0,127854000.0,67886698528.0,68,120,Raven Software,7.817021277
Need for Speed Carbon: Own the City,PSP,2006,Racing,Electronic Arts,857000,967000,0,584000,2408000,7.3,7.8,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,14,39,EA Canada,7.667924528
Super Monkey Ball: Banana Blitz,Weii,2006,Misc,Sega,1044000,927000,40000,240000,2251000,7.3,5.6,E,441042795.0,766795552.0,127854000.0,67886698528.0,53,72,Sega,6.3208
Saints Row,X360,2006,Action,THQ,1154000,755000,20000,221000,2150000,8.1,7.5,M,441042795.0,766795552.0,127854000.0,67886698528.0,74,211,Volition Inc.,7.655789474
Pokemon Ranger,DS,2006,Role-Playing,Ninti,1276000,30000,734000,118000,2158000,7.0,7.6,E,441042795.0,766795552.0,127854000.0,67886698528.0,21,50,HAL Labs,7.422535211
Tetris DS,DS,2006,Puzzle,Ninti,620000,50000,1358000,80000,2108000,8.4,8.9,E,441042795.0,766795552.0,127854000.0,67886698528.0,56,44,Ninti,8.62
Dead Rising,X360,2006,Action,Capcom,1161000,627000,79000,197000,2064000,8.4,7.5,M,441042795.0,766795552.0,127854000.0,67886698528.0,82,520,Capcom,7.622591362
Final Fantasy III,DS,2006,Role-Playing,Square Enix,889000,40000,1067000,91000,2087000,7.6,7.0,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,45,136,Matrix Software,7.149171271
The Sims 2: Pets,DS,2006,Simulation,Electronic Arts,923000,931000,0,220000,2074000,4.8,5.2,E,441042795.0,766795552.0,127854000.0,67886698528.0,5,24,Full Fat,5.131034483
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Shooter,Sony Computer Entertainment,1731000,20000,0,279000,2030000,7.3,9.0,T,441042795.0,766795552.0,127854000.0,67886698528.0,38,34,Zipper Interactive,8.102777778
Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,Ubisoft,1111000,651000,20000,201000,1983000,8.8,8.3,M,441042795.0,766795552.0,127854000.0,67886698528.0,69,225,Ubisoft Montreal,8.417346939
Kirby Squeak Squad,DS,2006,Platform,Ninti,780000,20000,1060000,79000,1939000,7.0,8.2,E,441042795.0,766795552.0,127854000.0,67886698528.0,29,41,"Flagship, HAL Labs",7.702857143
Madden NFL 07,X360,2006,Sports,Electronic Arts,1667000,0,10000,131000,1808000,8.1,6.0,E,441042795.0,766795552.0,127854000.0,67886698528.0,54,148,EA Tiburon,6.561386139
Dragon Quest Monsters: Joker,DS,2006,Role-Playing,Square Enix,229000,20000,1512000,20000,1781000,7.6,7.3,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,30,27,TOSE,7.457894737
NCAA Football 07,PS2,2006,Sports,Electronic Arts,1385000,50000,0,234000,1669000,8.7,8.7,E,441042795.0,766795552.0,127854000.0,67886698528.0,18,23,EA Sports,8.7
Fight Night Round 3,PS3,2006,Fighting,Electronic Arts,795000,585000,10000,261000,1651000,8.2,7.9,T,441042795.0,766795552.0,127854000.0,67886698528.0,37,24,EA Chicago,8.081967213
Need for Speed Carbon,X360,2006,Racing,Electronic Arts,774000,690000,20000,178000,1662000,7.6,6.4,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,52,82,EA Canada,6.865671642
Viva Pinata,X360,2006,Simulation,Microsoft Game Studios,454000,961000,20000,201000,1636000,8.3,8.0,E,441042795.0,766795552.0,127854000.0,67886698528.0,65,131,Rare Ltd.,8.099489796
Marrison Hoops 3 on 3,DS,2006,Sports,Ninti,988000,41000,492000,92000,1613000,6.9,8.0,E,441042795.0,766795552.0,127854000.0,67886698528.0,40,37,Square Enix,7.428571429
The Legend of Zelda: Twilight Princess,GC,2006,Action,Ninti,1146000,364000,40000,40000,1590000,9.7,9.2,T,441042795.0,766795552.0,127854000.0,67886698528.0,16,568,Ninti,9.21369863
Pokemon Battle Revolution,Weii,2006,Role-Playing,Ninti,765000,376000,302000,131000,1574000,5.4,6.8,E,441042795.0,766795552.0,127854000.0,67886698528.0,34,106,Genius Sonority Inc.,6.46
Fight Night Round 3,PS2,2006,Fighting,Electronic Arts,1069000,393000,0,102000,1564000,8.6,8.0,T,441042795.0,766795552.0,127854000.0,67886698528.0,32,41,EA Chicago,8.263013699
Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006,Shooter,Ubisoft,1419000,20000,20000,101000,1560000,9.0,8.1,T,441042795.0,766795552.0,127854000.0,67886698528.0,78,215,Ubisoft Paris,8.339590444
Call of War 3,PS3,2006,Shooter,Activision,601000,613000,30000,256000,1500000,8.1,6.8,T,441042795.0,766795552.0,127854000.0,67886698528.0,43,92,Treyarch,7.214074074
Dirge of Cerberus: Final Fantasy VII,PS2,2006,Shooter,Square Enix,473000,366000,513000,122000,1474000,5.7,7.0,T,441042795.0,766795552.0,127854000.0,67886698528.0,51,103,Square Enix,6.569480519
Fight Night Round 3,X360,2006,Fighting,Electronic Arts,1350000,30000,10000,101000,1491000,8.7,8.9,T,441042795.0,766795552.0,127854000.0,67886698528.0,67,264,EA Chicago,8.859516616
Sonic Rivals,PSP,2006,Racing,Sega,744000,422000,0,275000,1441000,6.4,7.9,E,441042795.0,766795552.0,127854000.0,67886698528.0,25,38,Backbone Entertainment,7.304761905
Rayman Raving Rabbids,Weii,2006,Misc,Ubisoft,1244000,59000,20000,111000,1434000,7.5,7.8,E,441042795.0,766795552.0,127854000.0,67886698528.0,54,116,Ubisoft Montpellier,7.704705882
LEGO Star Wars II: The Original Trilogy,PSP,2006,Action,LucasArts,587000,509000,0,315000,1411000,8.2,8.5,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,11,26,Traveller's Tales,8.410810811
Ridge Racer 7,PS3,2006,Racing,Namco Bandai Games,239000,712000,161000,265000,1377000,7.9,7.0,E,441042795.0,766795552.0,127854000.0,67886698528.0,45,52,Namco Bandai Games,7.417525773
Need for Speed Carbon,PS2,2006,Racing,Electronic Arts,1220000,49000,50000,10000,1329000,7.3,8.5,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,26,60,EA Canada,8.137209302
Lost Planet: Extreme Condition,X360,2006,Shooter,Capcom,1074000,40000,102000,101000,1317000,7.8,7.1,T,441042795.0,766795552.0,127854000.0,67886698528.0,76,187,Capcom,7.302281369
NBA Live 07,PS2,2006,Sports,Electronic Arts,1080000,41000,20000,172000,1313000,6.3,6.0,E,441042795.0,766795552.0,127854000.0,67886698528.0,12,39,EA Sports,6.070588235
Need for Speed Carbon,Weii,2006,Racing,Electronic Arts,443000,649000,20000,152000,1264000,6.7,7.4,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,21,26,EA Canada,7.087234043
Black,PS2,2006,Shooter,Electronic Arts,1003000,39000,31000,162000,1235000,7.8,8.3,M,441042795.0,766795552.0,127854000.0,67886698528.0,62,194,Criterion Games,8.17890625
Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,485000,498000,31000,198000,1212000,7.5,7.2,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,31,42,EA Canada,7.32739726
Cars,PS2,2006,Racing,THQ,1015000,39000,0,157000,1211000,7.1,8.3,E,441042795.0,766795552.0,127854000.0,67886698528.0,30,12,Rainbow Studios,7.442857143
Cars,PSP,2006,Racing,THQ,722000,284000,0,201000,1207000,7.0,7.1,E,441042795.0,766795552.0,127854000.0,67886698528.0,17,4,Locomotive Games,7.019047619
Scarface: The World is Yours,PS2,2006,Action,Vivendi Games,996000,41000,0,158000,1195000,7.5,8.5,M,441042795.0,766795552.0,127854000.0,67886698528.0,46,113,Radical Entertainment,8.210691824
Marrison vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,Ninti,742000,30000,357000,69000,1198000,7.7,7.9,E,441042795.0,766795552.0,127854000.0,67886698528.0,32,17,"Ninti, Ninti Software Technology",7.769387755
Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami Digital Entertainment,386000,353000,379000,81000,1199000,8.8,8.2,M,441042795.0,766795552.0,127854000.0,67886698528.0,54,147,Kojima Productions,8.36119403
Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,969000,40000,0,160000,1169000,8.6,8.9,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,19,53,Rockstar San Diego,8.820833333
Sonic the Hedgehog,PS3,2006,Platform,Sega,416000,61000,40000,666000,1183000,4.3,4.1,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,17,176,Sonic Team,4.11761658
Cars,GBA,2006,Racing,THQ,814000,300000,0,20000,1134000,5.0,4.6,E,441042795.0,766795552.0,127854000.0,67886698528.0,8,6,Helixe,4.828571429
Yakuza 2,PS2,2006,Adventure,Sega,49000,40000,844000,158000,1091000,7.7,8.1,M,441042795.0,766795552.0,127854000.0,67886698528.0,34,52,Amusement Vision,7.941860465
The Godfather,PS2,2006,Action,Electronic Arts,905000,30000,10000,151000,1096000,7.4,8.4,M,441042795.0,766795552.0,127854000.0,67886698528.0,56,99,Electronic Arts,8.038709677
LEGO Star Wars II: The Original Trilogy,DS,2006,Action,LucasArts,978000,30000,0,79000,1087000,4.7,5.0,E,441042795.0,766795552.0,127854000.0,67886698528.0,9,38,Amaze Entertainment,4.942553191
Call of War 3,PS2,2006,Shooter,Activision,901000,30000,0,147000,1078000,8.1,7.4,T,441042795.0,766795552.0,127854000.0,67886698528.0,14,83,Treyarch,7.501030928
Mortal Kombat: Armageddon,PS2,2006,Fighting,Midway Games,896000,41000,0,141000,1078000,7.4,8.5,M,441042795.0,766795552.0,127854000.0,67886698528.0,43,84,Midway,8.127559055
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006,Shooter,Sony Computer Entertainment,808000,110000,0,132000,1050000,8.0,8.9,T,441042795.0,766795552.0,127854000.0,67886698528.0,31,36,Zipper Interactive,8.48358209
Dance Dance Revolution SuperNOVA,PS2,2006,Simulation,Konami Digital Entertainment,853000,30000,0,137000,1020000,7.2,8.7,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,25,6,Konami,7.490322581
Sonic the Hedgehog,X360,2006,Platform,Sega,433000,485000,0,112000,1030000,4.6,4.5,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,38,455,Sega,4.507707911
Madden NFL 07,XB,2006,Sports,Electronic Arts,956000,29000,0,30000,1015000,8.3,8.6,E,441042795.0,766795552.0,127854000.0,67886698528.0,27,6,EA Tiburon,8.354545455
Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,367000,304000,120000,188000,979000,7.6,8.3,T,441042795.0,766795552.0,127854000.0,67886698528.0,26,30,Project Aces,7.975
Cars,DS,2006,Racing,THQ,865000,40000,0,70000,975000,5.5,2.1,E,441042795.0,766795552.0,127854000.0,67886698528.0,17,11,Helixe,4.164285714
LEGO Star Wars II: The Original Trilogy,GC,2006,Action,LucasArts,762000,188000,0,30000,980000,8.3,9.1,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,25,16,Traveller's Tales,8.612195122
Gangs of London,PSP,2006,Adventure,Sony Computer Entertainment,300000,433000,0,223000,956000,5.2,6.7,M,441042795.0,766795552.0,127854000.0,67886698528.0,47,18,SCEE London Studio,5.615384615
Bully,PS2,2006,Action,Take-Two Interactive,745000,30000,40000,122000,937000,8.7,9.3,T,441042795.0,766795552.0,127854000.0,67886698528.0,69,293,Rockstar Vancouver,9.185635359
MLB 06: The Show,PS2,2006,Sports,Sony Computer Entertainment,781000,30000,0,132000,943000,8.4,8.9,E,441042795.0,766795552.0,127854000.0,67886698528.0,30,31,SCEA San Diego Studios,8.654098361
Cars,GC,2006,Racing,THQ,721000,188000,0,30000,939000,7.0,6.9,E,441042795.0,766795552.0,127854000.0,67886698528.0,21,5,Rainbow Studios,6.980769231
SpongeBob SquarePants: The Yellow Avenger,PSP,2006,Action,THQ,548000,207000,0,157000,912000,4.7,6.4,E,441042795.0,766795552.0,127854000.0,67886698528.0,9,13,Tantalus Interactive,5.704545455
Sonic Riders,GC,2006,Racing,Sega,699000,179000,0,30000,908000,5.8,8.2,E,441042795.0,766795552.0,127854000.0,67886698528.0,32,46,Sonic Team,7.215384615
Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,295000,318000,206000,81000,900000,7.8,7.7,T,441042795.0,766795552.0,127854000.0,67886698528.0,56,161,"Mistwalker, Artoon",7.725806452
Hot Shots Tennis,PS2,2006,Sports,Sony Computer Entertainment,173000,132000,556000,51000,912000,7.1,8.1,E,441042795.0,766795552.0,127854000.0,67886698528.0,44,8,Clap Hanz,7.253846154
Killzone: Liberation,PSP,2006,Shooter,Sony Computer Entertainment,445000,269000,0,182000,896000,7.8,8.3,T,441042795.0,766795552.0,127854000.0,67886698528.0,56,80,Guerrilla,8.094117647
Monster 4X4: World Circuit,Weii,2006,Racing,Ubisoft,813000,0,10000,70000,893000,5.2,7.9,E,441042795.0,766795552.0,127854000.0,67886698528.0,11,17,Ubisoft,6.839285714
Tony Hawk's Project 8,PS2,2006,Sports,Activision,725000,31000,0,119000,875000,6.9,7.3,T,441042795.0,766795552.0,127854000.0,67886698528.0,17,19,Shaba Games,7.111111111
Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Sports,Konami Digital Entertainment,10000,728000,122000,10000,870000,8.1,8.4,E,441042795.0,766795552.0,127854000.0,67886698528.0,10,14,KCET,8.275
Lemmings,PSP,2006,Puzzle,Sony Computer Entertainment,118000,516000,0,232000,866000,7.5,7.9,E,441042795.0,766795552.0,127854000.0,67886698528.0,46,14,Team 17,7.593333333
Marvel: Ultimate Alliance,PS2,2006,Role-Playing,Activision,683000,30000,0,110000,823000,8.2,8.1,T,441042795.0,766795552.0,127854000.0,67886698528.0,29,33,Raven Software,8.146774194
The Sims 2: Pets,PSP,2006,Simulation,Electronic Arts,191000,388000,0,224000,803000,5.6,7.2,T,441042795.0,766795552.0,127854000.0,67886698528.0,9,10,Maxis,6.442105263
Dragon Ball Z: Budokai Tenkaichi 2,PS2,2006,Fighting,Atari,671000,20000,0,108000,799000,7.3,8.6,T,441042795.0,766795552.0,127854000.0,67886698528.0,31,61,Spike,8.161956522
Tom Clancy's Splinter Cell: Double Agent,X360,2006,Action,Ubisoft,667000,40000,10000,60000,777000,8.6,8.1,M,441042795.0,766795552.0,127854000.0,67886698528.0,59,148,Ubisoft Shanghai,8.242512077
NBA 2K7,PS2,2006,Sports,Take-Two Interactive,641000,20000,0,110000,771000,8.2,8.4,E,441042795.0,766795552.0,127854000.0,67886698528.0,12,18,"Kush Games, Visual Concepts",8.32
Worms: Open Warfare,PSP,2006,Strategy,THQ,112000,423000,0,229000,764000,7.0,6.6,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,22,18,Team 17,6.82
Metroid Prime Hunters,DS,2006,Shooter,Ninti,581000,40000,112000,59000,792000,8.4,7.9,T,441042795.0,766795552.0,127854000.0,67886698528.0,54,188,Ninti,8.011570248
Genji: Days of the Blade,PS3,2006,Action,Sony Computer Entertainment,178000,366000,61000,140000,745000,5.4,5.8,T,441042795.0,766795552.0,127854000.0,67886698528.0,46,30,Game Republic,5.557894737
Rockstar Games presents Table Tennis,X360,2006,Sports,Take-Two Interactive,275000,374000,0,81000,730000,8.1,7.7,E,441042795.0,766795552.0,127854000.0,67886698528.0,75,69,Rockstar San Diego,7.908333333
MVP 06 NCAA Baseball,PS2,2006,Sports,Electronic Arts,613000,20000,0,100000,733000,7.6,8.9,E,441042795.0,766795552.0,127854000.0,67886698528.0,27,18,EA Canada,8.12
Mortal Kombat: Unchained,PSP,2006,Fighting,Midway Games,667000,10000,0,59000,736000,6.9,8.9,M,441042795.0,766795552.0,127854000.0,67886698528.0,19,31,JGI Entertainment,8.14
NCAA Football 07,X360,2006,Sports,Electronic Arts,660000,0,0,59000,719000,8.0,6.8,E,441042795.0,766795552.0,127854000.0,67886698528.0,43,20,EA Sports,7.619047619
Tiger Woods PGA Tour 07,PS2,2006,Sports,Electronic Arts,596000,20000,0,98000,714000,7.8,6.1,E,441042795.0,766795552.0,127854000.0,67886698528.0,33,8,EA Redwood Shores,7.468292683
MX vs. ATV Unleashed: On the Edge,PSP,2006,Racing,THQ,633000,0,0,51000,684000,6.9,8.2,E,441042795.0,766795552.0,127854000.0,67886698528.0,22,7,Rainbow Studios,7.213793103
Red Steel,Weii,2006,Shooter,Ubisoft,541000,30000,40000,49000,660000,6.3,6.8,T,441042795.0,766795552.0,127854000.0,67886698528.0,54,121,Ubisoft Paris,6.645714286
Blazing Angels: Squadrons of WWeii,PS3,2006,Simulation,Ubisoft,356000,218000,0,102000,676000,6.7,6.8,T,441042795.0,766795552.0,127854000.0,67886698528.0,26,9,Ubisoft,6.725714286
WWE SmackDown vs. RAW 2007,PSP,2006,Fighting,THQ,332000,199000,0,141000,672000,7.8,8.2,T,441042795.0,766795552.0,127854000.0,67886698528.0,13,21,Yuke's,8.047058824
Thrillville,PS2,2006,Strategy,Atari,555000,20000,0,91000,666000,6.8,2.8,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,32,52,Frontier Developments,4.323809524
Onimusha: Dawn of Dreams,PS2,2006,Action,Capcom,152000,122000,336000,40000,650000,8.0,9.0,M,441042795.0,766795552.0,127854000.0,67886698528.0,45,62,Capcom,8.579439252
LEGO Star Wars II: The Original Trilogy,X360,2006,Action,LucasArts,556000,31000,0,49000,636000,8.1,8.2,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,50,45,Traveller's Tales,8.147368421
Okami,PS2,2006,Action,Capcom,110000,30000,148000,339000,627000,9.4,9.2,T,441042795.0,766795552.0,127854000.0,67886698528.0,69,327,Clover Studio,9.234848485
Tony Hawk's Project 8,PS3,2006,Sports,Activision,303000,224000,10000,100000,637000,7.6,7.2,T,441042795.0,766795552.0,127854000.0,67886698528.0,43,14,Neversoft Entertainment,7.501754386
Madden NFL 07,GC,2006,Sports,Electronic Arts,477000,131000,0,20000,628000,8.2,9.4,E,441042795.0,766795552.0,127854000.0,67886698528.0,14,5,EA Tiburon,8.515789474
Samurai Warriors 2,PS2,2006,Action,Tecmo Koei,20000,20000,566000,10000,616000,5.7,9.0,T,441042795.0,766795552.0,127854000.0,67886698528.0,26,13,Omega Force,6.8
Jaws Unleashed,PS2,2006,Action,THQ,490000,20000,0,80000,590000,5.2,7.6,M,441042795.0,766795552.0,127854000.0,67886698528.0,29,39,Appaloosa Interactive,6.576470588
NBA 2K7,X360,2006,Sports,Take-Two Interactive,524000,0,0,40000,564000,8.3,7.8,E,441042795.0,766795552.0,127854000.0,67886698528.0,46,67,"Kush Games, Visual Concepts",8.003539823
Naruto: Uzumaki Chronicles 2,PS2,2006,Action,Namco Bandai Games,283000,218000,0,71000,572000,5.2,7.0,T,441042795.0,766795552.0,127854000.0,67886698528.0,22,17,Cavia Inc.,5.984615385
FIFA World Cup Germany 2006,PS2,2006,Sports,Electronic Arts,463000,20000,0,79000,562000,7.8,8.1,E,441042795.0,766795552.0,127854000.0,67886698528.0,28,33,EA Canada,7.962295082
Arena Football,PS2,2006,Sports,Electronic Arts,282000,217000,0,70000,569000,6.7,8.8,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,18,14,EA Tiburon,7.61875
Tony Hawk's Project 8,PSP,2006,Sports,Activision,402000,71000,0,69000,542000,6.7,7.7,T,441042795.0,766795552.0,127854000.0,67886698528.0,11,14,Page 44 Studios,7.26
NCAA Football 07,XB,2006,Sports,Electronic Arts,425000,121000,0,10000,556000,8.8,6.8,E,441042795.0,766795552.0,127854000.0,67886698528.0,20,10,EA Sports,8.133333333
Dragon Ball Z: Shin Budokai,PSP,2006,Fighting,Atari,261000,80000,128000,70000,539000,7.0,7.9,T,441042795.0,766795552.0,127854000.0,67886698528.0,21,19,Dimps Corporation,7.4275
Over the Hedge,PS2,2006,Platform,Activision,443000,20000,0,70000,533000,5.8,8.6,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,29,10,Edge of Reality,6.517948718
Rune Factory: A Fantasy Harvest Moon,DS,2006,Role-Playing,Rising Star Games,356000,10000,138000,30000,534000,7.8,8.2,E,441042795.0,766795552.0,127854000.0,67886698528.0,26,52,Neverland,8.066666667
Excite Truck,Weii,2006,Racing,Ninti,395000,30000,81000,40000,546000,7.3,8.3,E,441042795.0,766795552.0,127854000.0,67886698528.0,57,83,Monster Games Inc.,7.892857143
Star Fox Command,DS,2006,Shooter,Ninti,382000,10000,100000,41000,533000,7.6,7.2,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,56,56,Q-Games,7.4
Mystery Dungeon: Shiren the Wanderer,DS,2006,Role-Playing,Sega,168000,0,335000,20000,523000,6.9,8.3,E,441042795.0,766795552.0,127854000.0,67886698528.0,27,21,ChunSoft,7.5125
GT Pro Series,Weii,2006,Racing,Ubisoft,460000,10000,20000,39000,529000,4.1,3.9,E,441042795.0,766795552.0,127854000.0,67886698528.0,15,21,MTO,3.983333333
Madden NFL 07,PS3,2006,Sports,Electronic Arts,472000,0,10000,40000,522000,7.6,4.1,E,441042795.0,766795552.0,127854000.0,67886698528.0,25,22,EA Tiburon,5.961702128
Tomb Raider: Legend,PS2,2006,Action,Eidos Interactive,253000,191000,20000,61000,525000,8.1,7.2,T,441042795.0,766795552.0,127854000.0,67886698528.0,43,96,Crystal Dynamics,7.478417266
Fight Night Round 3,PSP,2006,Fighting,Electronic Arts,467000,10000,0,41000,518000,7.5,8.2,T,441042795.0,766795552.0,127854000.0,67886698528.0,22,22,EA Chicago,7.85
The Sims 2: Open for Business,PC,2006,Simulation,Electronic Arts,467000,49000,0,0,516000,7.7,8.6,T,441042795.0,766795552.0,127854000.0,67886698528.0,29,35,Maxis,8.1921875
NBA Live 07,PSP,2006,Sports,Electronic Arts,470000,0,0,41000,511000,6.3,7.4,E,441042795.0,766795552.0,127854000.0,67886698528.0,9,4,EA Sports,6.638461538
Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco Bandai Games,149000,120000,197000,40000,506000,7.6,8.5,T,441042795.0,766795552.0,127854000.0,67886698528.0,45,55,Namco,8.095
NHL 07,PS2,2006,Sports,Electronic Arts,418000,20000,0,70000,508000,7.6,4.6,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,11,51,EA Sports,5.132258065
Sonic Riders,PS2,2006,Racing,Sega,421000,20000,0,71000,512000,5.4,7.3,E,441042795.0,766795552.0,127854000.0,67886698528.0,41,25,Sonic Team,6.11969697
WWE SmackDown vs. RAW 2007,X360,2006,Fighting,THQ,433000,30000,0,41000,504000,8.2,7.9,T,441042795.0,766795552.0,127854000.0,67886698528.0,50,46,Yuke's,8.05625
Avatar: The Last Airbender,GC,2006,Adventure,THQ,396000,99000,0,10000,505000,5.9,6.5,E10+,441042795.0,766795552.0,127854000.0,67886698528.0,10,4,AWE Games,6.071428571
