name	platform	year_of_release	genre	publisher	na_sales	eu_sales	jp_sales	other_sales	critic_score	critic_count	user_score	user_count	developer	rating	popularity score							
Grand Steal Auto: Vice City	PS2	2002	Action	Take-Two Interactive	8341000	5434000	463000	1803000	9.4	62	8.8	730	Rockstar North	M	8.846969697							
Brain Age 2: More Training in Minutes a Day	DS	2005	Puzzle	Ninti	3491000	5386000	5227000	1163000	7.6	37	7.1	19	Ninti	E	7.430357143							
Gran Turismo 3: A-Spec	PS2	2001	Racing	Sony Computer Entertainment	6726000	5025000	1837000	1165000	9.7	54	8.5	314	Polyphony Digital	E	8.676086957							
Call of War: Modern Warfare 3	X360	2011	Shooter	Activision	9049000	4206000	130000	1323000	8.7	81	3.4	8713	Infinity Ward, Sledgehammer Games	M	3.448817375							
Call of War: Black Ops	X360	2010	Shooter	Activision	9704000	3739000	109000	1146000	8.8	89	6.2	1454	Treyarch	M	6.349967596							
Call of War: Black Ops II	PS3	2012	Shooter	Activision	4934000	5713000	640000	2410000	8.2	21	5.3	922	Treyarch	M	5.364581124							
Call of War: Black Ops II	X360	2012	Shooter	Activision	8340000	4199000	69000	1103000	8.4	73	4.7	2256	Treyarch	M	4.81597252							
Call of War: Modern Warfare 2	X360	2009	Shooter	Activision	8546000	3639000	82000	1304000	9.5	100	6.2	2698	Infinity Ward	M	6.317941387							
Call of War: Modern Warfare 3	PS3	2011	Shooter	Activision	5443000	5665000	484000	1600000	8.7	39	3.2	5234	Infinity Ward, Sledgehammer Games	M	3.24067893							
Grand Steal Auto III	PS2	2001	Action	Take-Two Interactive	7007000	4485000	297000	1295000	9.6	56	8.6	664	DMA Design	M	8.677777778							
Super Smash Bros. Brawl	Weii	2008	Fighting	Ninti	6627000	2544000	2609000	1028000	9.2	81	9.1	1662	Game Arts	T	9.10464716							
Marrison Kart 7	3DS	2011	Racing	Ninti	5048000	3957000	2734000	915000	8.6	73	8.1	632	Retro Studios, Entertainment Analysis & Development Division	E	8.15177305							
Call of War: Black Ops	PS3	2010	Shooter	Activision	6014000	4342000	487000	1816000	8.9	58	6.4	1094	Treyarch	M	6.525868056							
Grand Steal Auto V	PS4	2014	Action	Take-Two Interactive	4022000	6301000	380000	1989000	9.6	66	8.2	2899	Rockstar North	M	8.231163575							
Animal Crossing: Wild World	DS	2005	Simulation	Ninti	2501000	3461000	5369000	862000	8.5	57	8.7	242	Ninti	E	8.66187291							
Halo 3	X360	2007	Shooter	Microsoft Game Studios	8076000	2780000	129000	1217000	9.3	86	7.9	4100	Bungie Software, Bungie	M	7.928762542							
Gran Turismo 4	PS2	2004	Racing	Sony Computer Entertainment	3043000	10000	1112000	7439000	8.8	74	8.5	272	Polyphony Digital	E	8.56416185							
Super Marrison Galaxy	Weii	2007	Platform	Ninti	6012000	3405000	1214000	737000	9.5	73	8.9	2147	Ninti	E	8.91972973							
Grand Steal Auto IV	X360	2008	Action	Take-Two Interactive	6856000	3102000	141000	1027000	10	86	7.9	2951	Rockstar North	M	7.959466579							
Super Marrison 3D Land	3DS	2011	Platform	Ninti	4905000	2943000	2112000	793000	8.9	82	8.5	921	Ninti	E	8.532701894							
Gran Turismo 5	PS3	2010	Racing	Sony Computer Entertainment	2941000	4862000	797000	2124000	8.4	82	7.4	1112	Polyphony Digital	E	7.468676717							
Call of War: Modern Warfare 2	PS3	2009	Shooter	Activision	4941000	3657000	379000	1629000	9.4	67	6.4	2073	Infinity Ward	M	6.493925234							
Grand Steal Auto IV	PS3	2008	Action	Take-Two Interactive	4753000	3746000	442000	1629000	9.8	64	7.4	2833	Rockstar North	M	7.453020366							
Call of War: Ghosts	X360	2013	Shooter	Activision	6782000	2516000	40000	907000	7.4	29	2.6	2117	Infinity Ward	M	2.664864865							
Just Dance 3	Weii	2011	Misc	Ubisoft	5846000	3093000	0	1056000	7.5	15	7.9	16	Ubisoft	E10+	7.706451613							
New Super Marrison Bros. 2	3DS	2012	Platform	Ninti	3670000	3162000	2478000	638000	7.7	70	7.3	424	Ninti	E	7.356680162							
Halo: Reach	X360	2010	Shooter	Microsoft Game Studios	6932000	1974000	81000	794000	9.1	99	8	2045	Bungie	M	8.05079291							
Halo 4	X360	2012	Shooter	Microsoft Game Studios	6582000	2249000	40000	735000	8.5	87	7.1	3260	343 Industries	M	7.136390798							
Just Dance 2	Weii	2010	Misc	Ubisoft	5868000	2851000	10000	775000	7.4	24	7.4	24	Ubisoft	E10+	7.4							
Call of War: Ghosts	PS3	2013	Shooter	Activision	4050000	3596000	383000	1239000	7.1	10	2.6	1047	Infinity Ward	M	2.642573321							
Call of War 4: Modern Warfare	X360	2007	Shooter	Activision	5819000	2348000	132000	913000	9.3	70	8.3	1320	Infinity Ward	M	8.350359712							
Animal Crossing: New Leaf	3DS	2012	Simulation	Ninti	2000000	2407000	4378000	387000	8.9	70	8.7	626	Ninti	E	8.720114943							
Marrison Party DS	DS	2007	Misc	Ninti	4360000	1866000	1965000	686000	7.3	27	7.9	85	Hudson Soft	E	7.755357143							
The Elder Scrolls V: Skyrim	X360	2011	Role-Playing	Bethesda Softworks	5058000	2763000	98000	850000	9.6	89	8.3	3589	Bethesda Game Studios	M	8.331457314							
FIFA 16	PS4	2015	Sports	Electronic Arts	1119000	6055000	61000	1275000	8.3	42	4.4	896	EA Sports	E	4.574626866							
Halo 2	XB	2004	Shooter	Microsoft Game Studios	6880000	1556000	50000	79000	9.6	91	8	1218	Bungie Software	M	8.111229947							
Weii Party	Weii	2010	Misc	Ninti	1763000	3460000	2527000	665000	6.9	42	7.4	54	Nd Cube	E	7.18125							
Marrison Party 8	Weii	2007	Misc	Ninti	3673000	2276000	1551000	711000	6.3	41	6.4	190	Hudson	E	6.382251082							
FIFA Soccer 13	PS3	2012	Action	Electronic Arts	1056000	4965000	131000	1971000	8.9	37	6.7	348	Electronic Arts	E	6.911428571							
Final Fantasy X	PS2	2001	Role-Playing	Sony Computer Entertainment	2950000	2069000	2758000	332000	9.3	53	8.8	1056	SquareSoft	T	8.823895401							
The Sims 3	PC	2009	Simulation	Electronic Arts	979000	6421000	0	592000	8.7	75	7.7	886	The Sims Studio	T	7.778043704							
PokÌ©mon Platinum Version	DS	2008	Role-Playing	Ninti	2738000	1704000	2674000	534000	8.3	46	8.5	203	Game Freak	E	8.463052209							
Grand Steal Auto: Liberty City Stories	PSP	2005	Action	Take-Two Interactive	2956000	2798000	242000	1726000	8.9	65	7.7	451	Rockstar Leeds	M	7.851162791							
Call of War: Advanced Warfare	PS4	2014	Shooter	Activision	2770000	3447000	141000	1246000	8.5	39	5.7	1443	Sledgehammer Games	M	5.773684211							
FIFA 17	PS4	2016	Sports	Electronic Arts	666000	5851000	79000	1129000	8.7	41	5	398	EA Sports, EA Vancouver	E	5.345558087							
Super Marrison Galaxy 2	Weii	2010	Platform	Ninti	3602000	2320000	962000	615000	9.8	87	9.2	1854	Ninti EAD Tokyo	E	9.226893354							
Call of War: World at War	X360	2008	Shooter	Activision	4851000	1857000	0	679000	8.3	84	7.7	580	Treyarch	M	7.775903614							
Battlefield 3	X360	2011	Shooter	Electronic Arts	4501000	2132000	60000	695000	8.5	57	7.5	2142	EA DICE	M	7.525920873							
Need for Speed Underground	PS2	2003	Racing	Electronic Arts	3241000	2860000	81000	1023000	8.6	33	8.5	171	EA Black Box	E	8.516176471							
Just Dance	Weii	2009	Misc	Ubisoft	3478000	2972000	0	734000	4.9	21	8.1	110	Ubisoft Paris	E10+	7.587022901							
Battlefield 3	PS3	2011	Shooter	Electronic Arts	2875000	2910000	348000	1074000	8.5	38	7.4	1761	EA DICE	M	7.423235131							
Fallout 4	PS4	2015	Role-Playing	Bethesda Softworks	2536000	3254000	242000	1115000	8.6	58	6.6	4228	Bethesda Game Studios	M	6.627064862							
The Legend of Zelda: Twilight Princess	Weii	2006	Action	Ninti	3699000	2099000	593000	682000	9.5	73	9.2	1658	Ninti	T	9.212651646							
Marrison Kart 8	WeiiU	2014	Racing	Ninti	3099000	2184000	1281000	503000	8.9	82	8.9	1599	Ninti	E	8.9							
Super Smash Bros. Melee	GC	2001	Fighting	Ninti	4361000	1030000	1372000	217000	9.1	38	9.3	568	HAL Labs	T	9.287458746							
Need for Speed Underground 2	PS2	2004	Racing	Electronic Arts	2763000	3059000	81000	1074000	8	39	8.6	132	EA Canada	E	8.463157895							
Medal of Honor: Frontline	PS2	2002	Shooter	Electronic Arts	2936000	2697000	168000	976000	9	29	8.4	135	EA LA	T	8.506097561							
Just Dance 4	Weii	2012	Misc	Ubisoft	4073000	2123000	0	552000	7.5	10	7.4	28	Ubisoft	E10+	7.426315789							
Gears of War 2	X360	2008	Shooter	Microsoft Game Studios	4126000	1880000	61000	628000	9.2	90	7.8	2739	Epic Games	M	7.844538706							
Uncharted 3: Drake's Deception	PS3	2011	Action	Sony Computer Entertainment	2732000	2724000	189000	1019000	9.3	97	8.4	3712	Naughty Dog	T	8.422919401							
Call of War 4: Modern Warfare	PS3	2007	Shooter	Activision	3056000	2270000	278000	1041000	9.4	44	8.3	993	Infinity Ward	M	8.346673095							
Uncharted 2: Among Thieves	PS3	2009	Action	Sony Computer Entertainment	3308000	2236000	209000	998000	9.5	105	8.9	5187	Naughty Dog	T	8.911904762							
Big Brain Academy	DS	2005	Misc	Ninti	1673000	2701000	1625000	622000	7.5	45	7.4	27	Ninti	E	7.4625							
Red Dead Redemption	PS3	2010	Action	Take-Two Interactive	2812000	2532000	172000	993000	9.6	73	8.7	2456	Rockstar San Diego	M	8.725978648							
FIFA 14	PS3	2013	Sports	Electronic Arts	771000	4179000	70000	1365000	8.6	37	4.2	576	EA Canada	E	4.465579119							
Assassin's Creed III	PS3	2012	Action	Ubisoft	2596000	2561000	160000	1129000	8.4	41	6.8	1307	Ubisoft	M	6.848664688							
Donkey Kong Country Returns	Weii	2010	Platform	Ninti	3152000	1797000	1036000	460000	8.8	77	8.5	368	Retro Studios	E	8.551910112							
Halo: Combat Evolved	XB	2001	Shooter	Microsoft Game Studios	5065000	1294000	81000	70000	9.6	68	8.7	1283	Bungie Software	M	8.745299778							
The Elder Scrolls V: Skyrim	PS3	2011	Role-Playing	Bethesda Softworks	2563000	2640000	248000	982000	9.2	16	6.4	2527	Bethesda Game Studios	M	6.417616988							
PokÌ©mon Emerald Version	GBA	2004	Role-Playing	Ninti	2606000	1602000	2036000	208000	7.6	28	9	222	Game Freak	E	8.8432							
Kingdom Hearts	PS2	2002	Role-Playing	Sony Computer Entertainment	3680000	1183000	1495000	71000	8.6	46	8.8	597	SquareSoft	E	8.785692068							
Halo 3: ODST	X360	2009	Shooter	Microsoft Game Studios	4328000	1333000	59000	612000	8.1	94	7.2	1163	Bungie Software, Bungie	M	7.267303103							
Red Dead Redemption	X360	2010	Action	Take-Two Interactive	3724000	1920000	92000	574000	9.5	96	9.1	2316	Rockstar San Diego	M	9.115920398							
Super Marrison Sunshine	GC	2002	Platform	Ninti	4073000	1243000	865000	169000	9.2	61	8.6	439	Ninti	E	8.6732							
World of Warcraft	PC	2004	Role-Playing	Activision	80000	6150000	0	0	9.2	57	7.3	2182	Blizzard Entertainment	T	7.348369808							
Gears of War 3	X360	2011	Shooter	Microsoft Game Studios	3982000	1611000	69000	498000	9	96	7.7	1504	Epic Games	M	7.778							
Kinect Sports	X360	2010	Sports	Microsoft Game Studios	3889000	1737000	30000	506000	7.2	51	7.3	95	Rare Ltd.	E10+	7.265068493							
Gears of War	X360	2006	Shooter	Microsoft Game Studios	3517000	1908000	69000	604000	9.6	88	8.3	2295	Epic Games	M	8.348006714							
FIFA 15	PS4	2014	Sports	Electronic Arts	790000	4318000	49000	891000	8.1	47	5.8	988	EA Sports	E	5.904444444							
Metal Gear Solid 2: Sons of Liberty	PS2	2001	Action	Konami Digital Entertainment	2405000	2045000	877000	721000	9.5	42	8.9	1026	KCEJ	M	8.923595506							
Metal Gear Solid 4: Guns of the Patriots	PS3	2008	Action	Konami Digital Entertainment	2641000	1682000	842000	822000	9.4	82	8.7	3558	Kojima Productions	M	8.715769231							
Final Fantasy XII	PS2	2006	Role-Playing	Square Enix	1876000	0	2322000	1731000	9.2	64	7.5	972	Square Enix	T	7.605019305							
LittleBigPlanet	PS3	2008	Platform	Sony Computer Entertainment	2787000	1978000	169000	859000	9.6	85	6.8	5311	SCE/WWS, Media Molecule	E	6.844106746							
Dragon Quest IX: Sentinels of the Starry Skies	DS	2009	Role-Playing	Ninti	631000	676000	4309000	152000	8.7	65	8.7	197	Level 5	E10+	8.7							
Destiny	PS4	2014	Shooter	Activision	2513000	2060000	157000	929000	7.7	95	6.1	5380	Bungie Software, Bungie	T	6.127762557							
LEGO Star Wars: The Complete Saga	Weii	2007	Action	LucasArts	3500000	1522000	0	508000	8.1	17	8.8	62	Traveller's Tales	E10+	8.649367089							
Cooking Mama	DS	2006	Simulation	505 Games	3017000	1896000	71000	576000	6.7	35	7.3	21	Taito Corporation	E	6.925							
Assassin's Creed II	PS3	2009	Action	Ubisoft	2532000	1919000	211000	868000	9.3	70	8.7	1202	Ubisoft Montreal	M	8.733018868							
Assassin's Creed	X360	2007	Adventure	Ubisoft	3308000	1644000	70000	556000	8.2	77	7.6	1074	Ubisoft Montreal	M	7.64013901							
Forza Motorsport 3	X360	2009	Racing	Microsoft Game Studios	2964000	1919000	99000	509000	9.3	90	8.1	516	Turn 10	E	8.278217822							
Super Marrison Advance	GBA	2001	Platform	Ninti	3112000	1227000	906000	204000	8.4	19	7.8	41	Ninti	E	7.99							
Monster Hunter Freedom Unite	PSP	2008	Role-Playing	Capcom	469000	554000	4103000	339000	8.2	48	8.7	124	Capcom	T	8.560465116							
Batman: Arkham City	PS3	2011	Action	Warner Bros. Interactive Entertainment	2658000	1869000	109000	814000	9.5	42	8.8	2162	Rocksteady Studios	T	8.813339383							
Grand Steal Auto V	XOne	2014	Action	Take-Two Interactive	2825000	2153000	0	470000	9.6	14	7.9	764	Rockstar North	M	7.93059126							
Marrison Kart: Super Circuit	GBA	2001	Racing	Ninti	2579000	1646000	997000	226000	9.3	24	8.4	108	Intelligent Systems	E	8.563636364							
Call of War: World at War	PS3	2008	Shooter	Activision	2718000	1812000	0	843000	8.5	45	7.6	409	Treyarch	M	7.689207048							
Uncharted 4: A Thief's End	PS4	2016	Shooter	Sony Computer Entertainment	1843000	2500000	187000	864000	9.4	113	7.9	7064	Naughty Dog	T	7.92361711							
Final Fantasy XIII	PS3	2009	Role-Playing	Square Enix	1739000	1229000	1884000	520000	8.3	83	7.3	2483	Square Enix	T	7.332346064							
Assassin's Creed III	X360	2012	Action	Ubisoft	3191000	1722000	30000	434000	8.4	61	6.7	1196	Ubisoft	M	6.782498011							
Final Fantasy X-2	PS2	2003	Role-Playing	Electronic Arts	1890000	1095000	2149000	167000	8.6	45	6.7	400	SquareSoft	T	6.892134831							
Call of War: Advanced Warfare	XOne	2014	Shooter	Activision	3263000	1559000	10000	488000	8	53	5.3	898	Sledgehammer Games	M	5.450473186							
Assassin's Creed II	X360	2009	Action	Ubisoft	3134000	1573000	78000	504000	9	82	8.8	1305	Ubisoft Montreal	M	8.811824081							
New Super Marrison Bros. U	WeiiU	2012	Platform	Ninti	2270000	1328000	1293000	314000	8.3	70	8.2	733	Ninti	E	8.20871731							
Dragon Quest VIII: Journey of the Cursed King	PS2	2004	Role-Playing	Square Enix	652000	738000	3644000	199000	9.1	63	8.9	245	Level 5	T	8.940909091							
Professor Layton and the Curious Village	DS	2007	Puzzle	Ninti	1201000	2458000	1037000	514000	8.4	72	8.7	147	Level 5	E	8.601369863							
FIFA Soccer 13	X360	2012	Action	Electronic Arts	1079000	3461000	30000	578000	8.8	48	6.2	403	Electronic Arts	E	6.476718404							
Diablo III	PC	2012	Role-Playing	Activision	2418000	2127000	0	544000	8.9	86	4.1	9629	Blizzard Entertainment	M	4.142490993							
Medal of Honor: Rising Sun	PS2	2003	Shooter	Electronic Arts	2012000	2215000	129000	795000	6.7	30	7.5	100	EA LA	T	7.315384615							
Fable III	X360	2010	Role-Playing	Microsoft Game Studios	3560000	1081000	50000	383000	7.9	88	6.4	604	Lionhead Studios	M	6.590751445							
Resident Evil 5	PS3	2009	Action	Capcom	1997000	1429000	1072000	639000	8.4	76	7.4	667	Capcom	M	7.502288022							
The Legend of Zelda: Phantom Hourglass	DS	2007	Action	Ninti	1820000	1773000	942000	475000	9.1	57	7.9	416	Ninti	E	8.044608879							
FIFA Soccer 11	PS3	2010	Sports	Electronic Arts	602000	3294000	60000	1116000	9	51	7.8	233	EA Sports	E	8.015492958							
Grand Steal Auto: Vice City Stories	PSP	2006	Action	Take-Two Interactive	1689000	2019000	158000	1198000	8.6	50	7.9	150	Rockstar Leeds	M	8.075							
Guitar Hero III: Legends of Rock	PS2	2007	Misc	Activision	3429000	10000	10000	1462000	8.3	24	8.3	46	Neversoft Entertainment, BudCat	T	8.3							
Link's Crossbow Training	Weii	2007	Shooter	Ninti	3091000	1147000	284000	464000	6.8	34	7.1	47	Ninti	T	6.974074074							
Fallout 3	X360	2008	Role-Playing	Bethesda Softworks	3362000	978000	91000	459000	9.3	84	8.5	1655	Bethesda Game Studios	M	8.538642898							
Uncharted: Drake's Fortune	PS3	2007	Action	Sony Computer Entertainment	2318000	1694000	122000	777000	8.7	66	8.2	2306	Naughty Dog, SCE/WWS	T	8.21391231							
Madden NFL 06	PS2	2005	Sports	Electronic Arts	3917000	260000	10000	659000	8.8	29	7.8	121	EA Sports	E	7.993333333							
StarCraft II: Wings of Liberty	PC	2010	Strategy	Activision	2582000	1666000	0	583000	9.3	82	8.2	3052	Blizzard Entertainment	T	8.22878111							
Assassin's Creed	PS3	2007	Adventure	Ubisoft	1930000	2009000	91000	807000	8.1	40	7.4	769	Ubisoft Montreal	M	7.43461063							
God of War III	PS3	2010	Action	Sony Computer Entertainment	2717000	1339000	121000	599000	9	101	8.9	2633	SCE Santa Monica	M	8.903694221							
LEGO Star Wars: The Complete Saga	DS	2007	Action	LucasArts	2809000	1470000	0	454000	7.9	9	5.3	46	TT Fusion	E	5.725454545							
Driver 2	PS	2000	Action	Atari	2313000	2107000	20000	254000	6.1	14	7.8	92	Reflections Interactive	T	7.575471698							
Batman: Arkham City	X360	2011	Action	Warner Bros. Interactive Entertainment	3001000	1249000	40000	412000	9.6	87	8.9	1472	Rocksteady Studios	T	8.939063502							
Tony Hawk's Pro Skater 2	PS	2000	Sports	Activision	3108000	1393000	20000	202000	9.9	19	7.8	299	Neversoft Entertainment	T	7.925471698							
The Lord of the Rings: The Two Towers	PS2	2002	Action	Electronic Arts	1975000	1980000	79000	702000	8.3	32	8.2	78	Stormfront Studios	T	8.229090909							
Animal Crossing: City Folk	Weii	2008	Simulation	Ninti	1816000	1137000	1326000	362000	7.4	50	7.7	119	Ninti	E	7.611242604							
Uncharted: The Nathan Drake Collection	PS4	2015	Action	Sony Computer Entertainment	2031000	1729000	79000	773000	8.7	78	8.1	1264	Bluepoint Games	T	8.134873323							
The Legend of Zelda: The Wind Waker	GC	2002	Action	Ninti	2633000	997000	907000	128000	9.7	80	9	968	Ninti	E	9.053435115							
Guitar Hero III: Legends of Rock	Weii	2007	Misc	Activision	3046000	1126000	0	434000	8.7	36	8.3	87	Vicarious Visions	T	8.417073171							
Luigi's Mansion: Dark Moon	3DS	2013	Action	Ninti	1828000	1374000	1122000	285000	8.5	74	8.5	458	Next Level Games	E	8.5							
Forza Motorsport 4	X360	2011	Racing	Microsoft Game Studios	2101000	1957000	61000	456000	9.2	83	8.4	617	Turn 10	E	8.494857143							
Madden NFL 2005	PS2	2004	Sports	Electronic Arts	4186000	260000	10000	80000	9.3	30	8	78	EA Tiburon	E	8.361111111							
Guitar Hero III: Legends of Rock	X360	2007	Misc	Activision	3184000	895000	10000	419000	8.5	69	7.9	165	Neversoft Entertainment	T	8.076923077							
Madden NFL 07	PS2	2006	Sports	Electronic Arts	3670000	244000	10000	599000	8.5	29	8.1	39	EA Sports	E	8.270588235							
Halo 5: Guardians	XOne	2015	Shooter	Microsoft Game Studios	2784000	1270000	30000	410000	8.3	101	6.3	2438	343 Industries	T	6.379558881							
Spider-Man: The Movie	PS2	2002	Action	Activision	2689000	1521000	29000	232000	7.5	25	8.1	41	Treyarch	E	7.872727273							
Call of War: Infinite Warfare	PS4	2016	Shooter	Activision	1616000	2038000	147000	697000	7.6	82	3.4	1129	Infinity Ward	M	3.684393064							
God of War	PS2	2005	Action	Sony Computer Entertainment	2689000	1286000	20000	427000	9.5	75	9.1	997	SCE Santa Monica	M	9.127985075							
Splatoon	WeiiU	2015	Shooter	Ninti	1513000	1163000	1436000	265000	8.1	88	8.4	1184	Ninti	E10+	8.379245283							
Ninti Land	WeiiU	2012	Misc	Ninti	2522000	1109000	455000	336000	7.7	61	8.1	471	Ninti	E10+	8.054135338							
Tony Hawk's Pro Skater 3	PS2	2001	Sports	Activision	2655000	1311000	10000	469000	9.7	34	7.5	298	Neversoft Entertainment	T	7.725301205							
Winning Eleven: Pro Evolution Soccer 2007	PS2	2006	Sports	Konami Digital Entertainment	100000	2352000	1048000	870000	8.6	19	8.9	33	Konami	E	8.790384615							
The Elder Scrolls IV: Oblivion	X360	2006	Role-Playing	Take-Two Interactive	2773000	1018000	132000	400000	9.5	90	8.8	1109	Bethesda Softworks	M	8.852543786							
Need for Speed: Most Wanted	PS2	2005	Racing	Electronic Arts	2016000	1766000	79000	466000	8.1	36	8.9	137	EA Canada	T	8.733526012							
Michael Jackson: The Experience	Weii	2010	Misc	Ubisoft	2593000	1314000	10000	383000	5.6	37	8.3	31	Ubisoft Paris, Ubisoft Montpellier	E10+	6.830882353							
Resistance: Fall of Man	PS3	2006	Shooter	Sony Computer Entertainment	1713000	1710000	142000	759000	8.6	70	8	715	Insomniac Games	M	8.053503185							
Kingdom Hearts II	PS2	2005	Role-Playing	Square Enix	2179000	587000	1383000	168000	8.5	64	9.1	766	Square Enix	E10+	9.05373494							
Super Marrison 3D World	WeiiU	2013	Platform	Ninti	2135000	1168000	740000	316000	9.2	83	9	1607	Ninti	E	9.009822485							
Fable II	X360	2008	Role-Playing	Microsoft Game Studios	2521000	1230000	109000	418000	8.8	95	6.5	2423	Lionhead Studios	M	6.586775218							
Namco Museum	GBA	2001	Misc	Namco Bandai Games	2997000	1091000	50000	70000	7.9	10	7.3	6	Mass Media	E	7.675							
Batman: Arkham Asylum	PS3	2009	Action	Eidos Interactive	2273000	1306000	69000	605000	9	70	8.9	1122	Rocksteady Studios	T	8.905872483							
Metal Gear Solid 3: Snake Eater	PS2	2004	Action	Konami Digital Entertainment	1435000	0	816000	1941000	9.1	68	9.4	955	KCEJ	M	9.380058651							
Assassin's Creed: Revelations	PS3	2011	Action	Ubisoft	1437000	2047000	101000	693000	7.9	39	7.4	613	Ubisoft Montreal	M	7.429907975							
Fallout 4	XOne	2015	Role-Playing	Bethesda Softworks	2515000	1298000	10000	384000	8.9	39	6.3	1749	Bethesda Game Studios	M	6.356711409							
FIFA 14	X360	2013	Sports	Electronic Arts	916000	2871000	10000	408000	8.5	41	4.1	435	EA Canada	E	4.478991597							
Daxter	PSP	2006	Platform	Sony Computer Entertainment	2470000	1023000	0	748000	8.6	59	8.5	109	Ready at Dawn	E10+	8.535119048							
FIFA Soccer 06	PS2	2005	Sports	Electronic Arts	779000	2510000	40000	829000	7.9	32	7.8	47	EA Canada	E	7.840506329							
EyeToy Play	PS2	2003	Misc	Sony Computer Entertainment	864000	2339000	201000	820000	8	32	7.4	22	SCEE, Zoe Mode	E	7.755555556							
Gran Turismo 5 Prologue	PS3	2007	Racing	Sony Computer Entertainment	1269000	1788000	575000	516000	7.8	67	7.2	120	Polyphony Digital	E	7.414973262							
Assassin's Creed: Revelations	X360	2011	Action	Ubisoft	2223000	1491000	40000	426000	8	77	7.2	564	Ubisoft Montreal	M	7.296099844							
Street Fighter IV	PS3	2009	Fighting	Capcom	2066000	1047000	589000	522000	9.5	61	7.4	330	Capcom	T	7.727621483							
Madden NFL 2003	PS2	2002	Sports	Electronic Arts	3300000	212000	10000	558000	9.5	25	7.6	65	EA Sports	E	8.127777778							
World of Warcraft: The Burning Crusade	PC	2007	Role-Playing	Activision	2584000	1522000	0	0	9.2	46	8	785	Blizzard Entertainment	T	8.066425993							
Battlefield 1	PS4	2016	Shooter	Electronic Arts	1120000	2174000	209000	616000	8.7	31	8.3	809	EA DICE	M	8.314761905							
God of War II	PS2	2007	Action	Sony Computer Entertainment	2340000	40000	41000	1669000	9.2	70	8.8	709	SCE Santa Monica	M	8.835943517							
Fallout: New Vegas	X360	2010	Role-Playing	Bethesda Softworks	2661000	1015000	39000	333000	8.5	81	8.1	769	Obsidian Entertainment	M	8.138117647							
Forza Motorsport 2	X360	2007	Racing	Microsoft Game Studios	2372000	1245000	30000	418000	9.1	66	8.2	381	Turn 10	E	8.332885906							
Carnival Games	Weii	2007	Misc	Take-Two Interactive	2115000	1471000	50000	412000	5.6	27	5.9	44	Cat Daddy Games	E	5.785915493							
Watch Dogs	PS4	2014	Action	Ubisoft	1426000	1930000	111000	646000	8.1	80	6.3	2996	Ubisoft Montreal	M	6.346814044							
Tekken Tag Tournament	PS2	2000	Fighting	Namco Bandai Games	1686000	1489000	518000	345000	8.3	25	8.4	117	Namco	T	8.382394366							
Far Cry 4	PS4	2014	Shooter	Ubisoft	1150000	2166000	100000	629000	8.4	83	7.6	1653	Ubisoft Montreal	M	7.638248848							
Left 4 Dead 2	X360	2009	Shooter	Electronic Arts	2664000	887000	50000	379000	8.9	76	8.7	681	Valve Software	M	8.72007926							
The Witcher 3: Wild Hunt	PS4	2015	Role-Playing	Namco Bandai Games	1009000	2109000	231000	584000	9.2	79	9.1	10179	CD Projekt Red Studio	M	9.100770131							
